排名,BRAND,MODEL,總分,price_分數,Core_Count_分數,Threads_分數,Base_Clock(GHz)_分數,Turbo_Clock(GHz)_分數,Cache_分數,Performance / Computing_Power_分數,Power_Consumption_分數
1,Intel,Xeon W5-3435X,9712.9225,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,9.450000000000001,0.10000000000000002,0.10000000000000002
2,AMD,Ryzen TR PRO 9955WX,9712.892500000002,9696.275,2.3000000000000003,4.6000000000000005,0.030000000000000023,0.03750000000000008,9.450000000000001,0.10000000000000002,0.10000000000000002
3,Intel,Xeon W7-3465X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
4,AMD,Ryzen TR 9960X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
5,AMD,Ryzen TR 9980X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
6,AMD,Ryzen TR 9970X,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
7,AMD,Ryzen TR PRO 9965WX,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
8,AMD,Ryzen TR PRO 9975WX,9712.822499999998,9696.275,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
9,AMD,Ryzen TR PRO 9985WX,9712.822499999995,9696.274999999996,2.3000000000000003,4.6000000000000005,0.060000000000000046,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
10,Intel,Xeon W9-3475X,9712.804999999998,9696.275,2.3000000000000003,4.6000000000000005,0.04250000000000003,0.03750000000000008,9.450000000000001,0.05000000000000004,0.05000000000000004
11,Intel,Xeon W7-2475X,9712.135,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,8.6625,0.10000000000000002,0.10000000000000002
12,Intel,Xeon W5-2465X,9711.66625,9696.275,2.3000000000000003,4.6000000000000005,0.059999999999999935,0.03750000000000008,8.19375,0.10000000000000002,0.10000000000000002
13,Intel,Xeon W5-2455X,9187.734999999999,9173.262499999999,2.15,4.3,0.060000000000000046,0.03750000000000008,7.7250000000000005,0.09999999999999996,0.09999999999999996
14,AMD,R9 9950X3D,7471.08625,7454.512499999999,2.3000000000000003,4.6000000000000005,0.05500000000000004,0.01875000000000004,9.450000000000001,0.05000000000000004,0.10000000000000002
15,AMD,R9 9900X3D,7070.692499999999,7054.512499999999,2.15,4.3,0.042499999999999975,0.03750000000000008,9.450000000000001,0.10000000000000002,0.10000000000000002
16,AMD,R9 9950X,6971.1362500000005,6954.512499999999,2.3000000000000003,4.6000000000000005,0.05500000000000004,0.01875000000000004,9.450000000000001,0.10000000000000002,0.10000000000000002
17,AMD,R7 7800X3D,6162.96,6148.262499999999,1.6500000000000001,3.3000000000000003,0.060000000000000046,0.03750000000000008,9.450000000000001,0.10000000000000002,0.09999999999999996
18,Intel,i7-14700,5832.280000000001,5817.012499999999,2.3000000000000003,4.6000000000000005,0.029999999999999968,0.03750000000000008,8.1,0.10000000000000002,0.09999999999999996
19,AMD,R7 8700G,5729.235000000001,5717.012499999999,1.6500000000000001,3.3000000000000003,0.060000000000000046,0.03750000000000008,6.975,0.09999999999999996,0.09999999999999996
20,Intel,Core Ultra 5 235,5573.385000000001,5560.762499999999,2.3000000000000003,3.0500000000000003,0.059999999999999935,0.03750000000000008,6.975,0.09999999999999996,0.09999999999999996
21,AMD,R5 9600X,5517.735000000001,5504.512499999999,1.4,2.8,0.059999999999999935,0.03750000000000008,8.725,0.09999999999999996,0.09999999999999996
22,AMD,R5 9600,5505.235000000001,5492.012499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,8.725,0.09999999999999996,0.09999999999999996
23,AMD,R7 7700 MPK,5472.735000000001,5459.512499999999,1.6500000000000001,3.3000000000000003,0.060000000000000046,0.03750000000000008,7.9750000000000005,0.09999999999999996,0.09999999999999996
24,AMD,R5 7600,5404.485000000001,5392.012499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,7.9750000000000005,0.09999999999999996,0.09999999999999996
25,Intel,Core Ultra 5 245KF,5392.135000000001,5379.512499999999,2.3000000000000003,3.0500000000000003,0.060000000000000046,0.03750000000000008,6.975,0.09999999999999996,0.09999999999999996
26,AMD,R5 8600G,5365.7300000000005,5354.512499999999,1.4,2.8,0.05500000000000004,0.03750000000000008,6.725,0.09999999999999996,0.09999999999999996
27,Intel,Core Ultra 5 225,5256.985000000001,5245.762499999999,1.9000000000000001,2.55,0.060000000000000046,0.03750000000000008,6.475,0.09999999999999996,0.09999999999999996
28,Intel,Core Ultra 5 225F,5231.985000000001,5220.762499999999,1.9000000000000001,2.55,0.060000000000000046,0.03750000000000008,6.475,0.09999999999999996,0.09999999999999996
29,AMD,R5 8400F,5215.735000000001,5204.512499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,6.725,0.09999999999999996,0.09999999999999996
30,AMD,R5 7500F MPK,5184.485000000001,5172.012499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,7.9750000000000005,0.09999999999999996,0.09999999999999996
31,Intel,i5-12400,5158.985000000001,5148.262499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,6.225,0.09999999999999996,0.09999999999999996
32,Intel,i5-14400F,5153.985000000001,5142.012499999999,1.9000000000000001,3.3000000000000003,0.060000000000000046,0.03750000000000008,6.475,0.09999999999999996,0.09999999999999996
33,AMD,R5 5600GT,5115.360000000001,5104.512499999999,1.4,2.8,0.059999999999999935,0.03750000000000008,6.35,0.09999999999999996,0.09999999999999996
34,AMD,R5 5500GT,5052.860000000001,5042.012499999999,1.4,2.8,0.059999999999999935,0.03750000000000008,6.35,0.09999999999999996,0.09999999999999996
35,Intel,i5-12400F,5033.985000000001,5023.262499999999,1.4,2.8,0.060000000000000046,0.03750000000000008,6.225,0.09999999999999996,0.09999999999999996
36,AMD,Ryzen TR PRO 9995WX,4856.5099999999975,4848.137499999996,1.1500000000000001,2.3000000000000003,0.060000000000000046,0.03750000000000008,4.7250000000000005,0.05000000000000004,0.05000000000000004
37,AMD,R5 3400G,4856.49125,4848.137499999999,1.15,2.3,0.060000000000000046,0.01875000000000004,4.725,0.04999999999999998,0.04999999999999998
